lng,reviews,websiteUrl,bookingUrl,name,description,categories,type,facilities,lat,id,created_date,updated_date,created_by_id,created_by,is_sample
"136.747949","[]","https://www.parks.sa.gov.au/parks/flinders-chase-national-park/booking/63689","","Rocky River Campground - Flinders Chase NP","Camp at the Flinders Chase NP visitor centre — great base for Remarkable Rocks, Admirals Arch and wildlife. Hot showers, flush toilets, BBQ. No pets.","[""camp"",""national_park""]","camp","[""Toilets"",""Showers"",""Water"",""BBQ""]","-36.005781","69d47dc9c34c153d34c9d608","2026-04-07T03:45:13.027000","2026-04-07T03:45:13.027000","69898c378cbf30f1c90bf134","mikayla.b.watson@gmail.com","false"
"136.552887","[]","https://www.parks.sa.gov.au/parks/flinders-chase-national-park","","West Bay Campground - Flinders Chase NP","Remote 4WD-only campground at the westernmost inlet of Kangaroo Island. Spectacular seaside views and a secluded beach. BYO water and stove.","[""camp""]","camp","[""4WD Only""]","-35.888931","69d47dc9c34c153d34c9d609","2026-04-07T03:45:13.027000","2026-04-07T03:45:13.027000","69898c378cbf30f1c90bf134","mikayla.b.watson@gmail.com","false"
"137.176843","[]","","","Vivonne Bay Campground","Walking distance from Vivonne Bay's long curved sandy beach — great for fishing, swimming and surfing. Powered and unpowered sites. Koalas and wallabies nearby.","[""camp"",""caravan""]","camp","[""Toilets"",""Showers"",""Power"",""Water"",""BBQ"",""Pet Friendly""]","-35.984613","69d47dc9c34c153d34c9d60a","2026-04-07T03:45:13.027000","2026-04-07T03:45:13.027000","69898c378cbf30f1c90bf134","mikayla.b.watson@gmail.com","false"
"137.206586","[]","","","Stokes Bay Campground","Popular north coast campground with access to the famous secret beach (through the rocks). Lots of kangaroos, wallabies and koalas. Flush toilets and BBQ.","[""camp""]","camp","[""Toilets"",""BBQ"",""Pet Friendly""]","-35.624781","69d47dc9c34c153d34c9d60b","2026-04-07T03:45:13.027000","2026-04-07T03:45:13.027000","69898c378cbf30f1c90bf134","mikayla.b.watson@gmail.com","false"
"136.971664","[]","","","Western River Cove Campground","Remote north coast campground on an estuary with a secluded beach 5 min walk away. Dirt road access (corrugated). Cash only. No caravans.","[""camp""]","camp","[""Toilets"",""Water"",""BBQ""]","-35.677776","69d47dc9c34c153d34c9d60c","2026-04-07T03:45:13.027000","2026-04-07T03:45:13.027000","69898c378cbf30f1c90bf134","mikayla.b.watson@gmail.com","false"
"137.469287","[]","","","Murray Lagoon Campground","Cape Gantheaume Conservation Park campground beside Murray Lagoon — great birdwatching. Vehicle-based camping, basic facilities. Book online.","[""camp""]","camp","[""Toilets"",""Water"",""BBQ""]","-36.003309","69d47dc9c34c153d34c9d60d","2026-04-07T03:45:13.027000","2026-04-07T03:45:13.027000","69898c378cbf30f1c90bf134","mikayla.b.watson@gmail.com","false"
"137.60527","[]","","","D'Estrees Bay Campground","Cape Gantheaume Conservation Park beach campground. Beautiful isolated spot near Seal Bay. New toilets and picnic area. Rough track for last 1-2km.","[""camp""]","camp","[""Toilets"",""BBQ""]","-35.96611","69d47dc9c34c153d34c9d60e","2026-04-07T03:45:13.027000","2026-04-07T03:45:13.027000","69898c378cbf30f1c90bf134","mikayla.b.watson@gmail.com","false"
"137.505547","[]","","","Emu Bay Campground","Unpowered campground steps from Emu Bay's white sandy beach and jetty. Level sites suitable for caravans and motorhomes. Dog friendly.","[""camp"",""caravan""]","camp","[""Toilets"",""BBQ"",""Pet Friendly""]","-35.594682","69d47dc9c34c153d34c9d60f","2026-04-07T03:45:13.027000","2026-04-07T03:45:13.027000","69898c378cbf30f1c90bf134","mikayla.b.watson@gmail.com","false"
"137.6342","[]","","","Kingscote Tourist Park","Kangaroo Island's main town caravan park in Kingscote. Powered and unpowered sites, cabins, and all facilities. Great base for exploring the island.","[""caravan""]","caravan","[""Toilets"",""Showers"",""Power"",""Water"",""Pet Friendly""]","-35.6531","69d47dc9c34c153d34c9d610","2026-04-07T03:45:13.027000","2026-04-07T03:45:13.027000","69898c378cbf30f1c90bf134","mikayla.b.watson@gmail.com","false"
"137.938","[]","https://seafrontholidaypark.com.au/","","Kangaroo Island Seafront Holiday Park","Penneshaw foreshore caravan park near the ferry terminal. Powered sites, cabins, great bay views and walking distance to town.","[""caravan""]","caravan","[""Toilets"",""Showers"",""Power"",""Water"",""Dump Point""]","-35.721","69d47dc9c34c153d34c9d611","2026-04-07T03:45:13.027000","2026-04-07T03:45:13.027000","69898c378cbf30f1c90bf134","mikayla.b.watson@gmail.com","false"
